NodeID NodeType IfIndex Up Delay Bw DnodeID
72 1 6 1 1000 400000000000 69
72 1 5 1 1000 400000000000 68
72 1 4 1 1000 400000000000 67
72 1 3 1 1000 400000000000 66
72 1 2 1 1000 400000000000 65
72 1 1 1 1000 400000000000 64
73 1 12 1 1000 400000000000 83
73 1 11 1 1000 400000000000 82
73 1 10 1 1000 400000000000 81
73 1 9 1 1000 400000000000 80
73 1 8 1 1000 400000000000 71
73 1 7 1 1000 400000000000 70
73 1 6 1 1000 400000000000 69
73 1 5 1 1000 400000000000 68
73 1 4 1 1000 400000000000 67
73 1 3 1 1000 400000000000 66
73 1 2 1 1000 400000000000 65
73 1 1 1 1000 400000000000 64
74 1 12 1 1000 400000000000 83
74 1 11 1 1000 400000000000 82
74 1 10 1 1000 400000000000 81
74 1 9 1 1000 400000000000 80
74 1 8 1 1000 400000000000 71
74 1 7 1 1000 400000000000 70
74 1 6 1 1000 400000000000 69
74 1 5 1 1000 400000000000 68
74 1 4 1 1000 400000000000 67
74 1 3 1 1000 400000000000 66
74 1 2 1 1000 400000000000 65
74 1 1 1 1000 400000000000 64
75 1 12 1 1000 400000000000 83
75 1 11 1 1000 400000000000 82
75 1 10 1 1000 400000000000 81
75 1 9 1 1000 400000000000 80
75 1 8 1 1000 400000000000 71
75 1 7 1 1000 400000000000 70
75 1 6 1 1000 400000000000 69
75 1 5 1 1000 400000000000 68
75 1 4 1 1000 400000000000 67
75 1 3 1 1000 400000000000 66
75 1 2 1 1000 400000000000 65
75 1 1 1 1000 400000000000 64
76 1 12 1 1000 400000000000 83
76 1 11 1 1000 400000000000 82
76 1 10 1 1000 400000000000 81
76 1 9 1 1000 400000000000 80
76 1 8 1 1000 400000000000 71
76 1 7 1 1000 400000000000 70
76 1 6 1 1000 400000000000 69
76 1 5 1 1000 400000000000 68
76 1 4 1 1000 400000000000 67
76 1 3 1 1000 400000000000 66
76 1 2 1 1000 400000000000 65
76 1 1 1 1000 400000000000 64
77 1 12 1 1000 400000000000 83
77 1 11 1 1000 400000000000 82
77 1 10 1 1000 400000000000 81
77 1 9 1 1000 400000000000 80
77 1 8 1 1000 400000000000 71
77 1 7 1 1000 400000000000 70
77 1 6 1 1000 400000000000 69
77 1 5 1 1000 400000000000 68
77 1 4 1 1000 400000000000 67
77 1 3 1 1000 400000000000 66
77 1 2 1 1000 400000000000 65
77 1 1 1 1000 400000000000 64
78 1 12 1 1000 400000000000 83
78 1 11 1 1000 400000000000 82
78 1 10 1 1000 400000000000 81
78 1 9 1 1000 400000000000 80
78 1 8 1 1000 400000000000 71
78 1 7 1 1000 400000000000 70
78 1 6 1 1000 400000000000 69
78 1 5 1 1000 400000000000 68
78 1 4 1 1000 400000000000 67
78 1 3 1 1000 400000000000 66
78 1 2 1 1000 400000000000 65
78 1 1 1 1000 400000000000 64
